Person_ID,True_Label,Predicted_Label,Correct
P04081,Yes,Yes,1
P08750,No,No,1
P09731,No,No,1
P01940,No,No,1
P05174,No,No,1
P04589,No,No,1
P00684,No,No,1
P06778,Yes,Yes,1
P05625,No,No,1
P03810,Yes,Yes,1
P04654,No,No,1
P08343,No,No,1
P00183,Yes,Yes,1
P00601,No,No,1
P06440,No,No,1
P03346,No,No,1
P01305,Yes,Yes,1
P06444,No,No,1
P06558,Yes,Yes,1
P05071,Yes,Yes,1
P08346,No,No,1
P09506,Yes,Yes,1
P04398,No,No,1
P00883,No,No,1
P03561,No,No,1
P06966,No,No,1
P09983,Yes,Yes,1
P09449,No,No,1
P08081,No,No,1
P04104,Yes,Yes,1
P01140,Yes,Yes,1
P00565,No,No,1
P09300,No,No,1
P01546,No,No,1
P02556,No,No,1
P03534,No,No,1
P03368,No,No,1
P03945,Yes,Yes,1
P01934,No,No,1
P02643,Yes,Yes,1
P06808,Yes,Yes,1
P07741,Yes,Yes,1
P08920,Yes,Yes,1
P03018,No,No,1
P01454,Yes,Yes,1
P03184,No,No,1
P03233,No,No,1
P00622,No,No,1
P04079,Yes,Yes,1
P01923,Yes,Yes,1
P03041,Yes,Yes,1
P04976,Yes,Yes,1
P08967,No,No,1
P06190,No,No,1
P07366,No,No,1
P02491,No,No,1
P04382,Yes,Yes,1
P03626,Yes,Yes,1
P05409,No,No,1
P05698,No,No,1
P01872,No,No,1
P02661,No,No,1
P01405,Yes,Yes,1
P06098,No,No,1
P04770,Yes,Yes,1
P03489,Yes,Yes,1
P05540,Yes,Yes,1
P04920,Yes,Yes,1
P00621,Yes,Yes,1
P03070,No,No,1
P03104,Yes,Yes,1
P06499,No,No,1
P05525,No,No,1
P05573,Yes,Yes,1
P07057,Yes,Yes,1
P07054,Yes,Yes,1
P07994,No,No,1
P02182,No,No,1
P06401,No,No,1
P07983,No,No,1
P04841,No,No,1
P05941,No,No,1
P05663,Yes,Yes,1
P08802,No,No,1
P09377,Yes,Yes,1
P07076,No,No,1
P08837,No,No,1
P05911,No,No,1
P01086,No,No,1
P09284,No,No,1
P08176,No,No,1
P04440,No,No,1
P08267,Yes,Yes,1
P07452,No,No,1
P07438,No,No,1
P03719,No,No,1
P05859,Yes,Yes,1
P07444,Yes,Yes,1
P04283,No,No,1
P03641,Yes,Yes,1
P01783,Yes,Yes,1
P09202,No,No,1
P04977,No,No,1
P04315,No,No,1
P05120,Yes,Yes,1
P02633,No,No,1
P09561,Yes,Yes,1
P02201,No,No,1
P00379,Yes,Yes,1
P04077,Yes,Yes,1
P00552,No,No,1
P04070,No,No,1
P00751,Yes,Yes,1
P05833,No,No,1
P00509,Yes,Yes,1
P02304,No,No,1
P01493,Yes,Yes,1
P08758,Yes,Yes,1
P02725,No,No,1
P03024,No,No,1
P05683,No,No,1
P01462,Yes,Yes,1
P02678,Yes,Yes,1
P07063,No,No,1
P02565,Yes,Yes,1
P00517,No,No,1
P07530,No,No,1
P07730,Yes,Yes,1
P05129,Yes,Yes,1
P02597,Yes,Yes,1
P08111,No,No,1
P07157,No,No,1
P01364,No,No,1
P01904,Yes,Yes,1
P04723,Yes,Yes,1
P09004,Yes,Yes,1
P03394,Yes,Yes,1
P09963,No,No,1
P06002,No,No,1
P09410,Yes,Yes,1
P04579,No,No,1
P02982,No,No,1
P09244,No,No,1
P00416,No,No,1
P01415,No,No,1
P02145,Yes,Yes,1
P00380,Yes,Yes,1
P09631,No,No,1
P00529,Yes,Yes,1
P09884,No,No,1
P09532,No,No,1
P07232,No,No,1
P00471,Yes,Yes,1
P01550,No,No,1
P01100,Yes,Yes,1
P04307,Yes,Yes,1
P04619,Yes,Yes,1
P07030,No,No,1
P09432,Yes,Yes,1
P08618,No,No,1
P02093,Yes,Yes,1
P00283,Yes,Yes,1
P08108,No,No,1
P07439,Yes,Yes,1
P09369,No,No,1
P01102,Yes,Yes,1
P09124,No,No,1
P00354,Yes,Yes,1
P01742,Yes,Yes,1
P05081,Yes,Yes,1
P09049,Yes,Yes,1
P03754,Yes,Yes,1
P03403,No,No,1
P04873,Yes,Yes,1
P06748,Yes,Yes,1
P04425,No,No,1
P09856,No,No,1
P00404,Yes,Yes,1
P02428,Yes,Yes,1
P06340,Yes,Yes,1
P02475,No,No,1
P00824,No,No,1
P07764,No,No,1
P00179,Yes,Yes,1
P01696,No,No,1
P09076,No,No,1
P09996,No,No,1
P07879,Yes,Yes,1
P09481,No,No,1
P07874,No,No,1
P05125,Yes,Yes,1
P03298,No,No,1
P05008,No,No,1
P01176,No,No,1
P05958,No,No,1
P06635,Yes,Yes,1
P05893,No,No,1
P02416,No,No,1
P08849,Yes,Yes,1
P09638,Yes,Yes,1
P05732,Yes,Yes,1
P01437,Yes,Yes,1
P01613,No,No,1
P07393,No,No,1
P01895,No,No,1
P03861,Yes,Yes,1
P02497,No,No,1
P09459,Yes,Yes,1
P07712,No,No,1
P01488,No,No,1
P07767,No,No,1
P07012,Yes,Yes,1
P07307,No,No,1
P08959,No,No,1
P05483,No,No,1
P04909,Yes,Yes,1
P01019,Yes,Yes,1
P09584,Yes,Yes,1
P00440,No,No,1
P01467,Yes,Yes,1
P04830,Yes,Yes,1
P08991,Yes,Yes,1
P07577,Yes,Yes,1
P07021,No,No,1
P05623,No,No,1
P00402,Yes,Yes,1
P09823,Yes,Yes,1
P02769,Yes,Yes,1
P00378,No,No,1
P01538,Yes,Yes,1
P08074,No,No,1
P07014,Yes,Yes,1
P06625,No,No,1
P05228,Yes,Yes,1
P03646,Yes,Yes,1
P00156,Yes,Yes,1
P07402,Yes,Yes,1
P07004,No,No,1
P00823,Yes,Yes,1
P06311,Yes,Yes,1
P01093,No,No,1
P06284,No,No,1
P01520,No,No,1
P07986,No,No,1
P07168,Yes,Yes,1
P08377,No,No,1
P06077,No,No,1
P06997,No,No,1
P01836,No,No,1
P03448,Yes,Yes,1
P03323,Yes,Yes,1
P04547,No,No,1
P08286,No,No,1
P02738,No,No,1
P08430,Yes,Yes,1
P01134,Yes,Yes,1
P07298,Yes,Yes,1
P07203,No,No,1
P04389,Yes,Yes,1
P03244,No,No,1
P00433,Yes,Yes,1
P04700,Yes,Yes,1
P08129,No,No,1
P05991,Yes,Yes,1
P09328,No,No,1
P07711,Yes,Yes,1
P03153,No,No,1
P04105,Yes,Yes,1
P04018,No,No,1
P05124,No,No,1
P00032,Yes,Yes,1
P09982,Yes,Yes,1
P07552,No,No,1
P06725,Yes,Yes,1
P08493,No,No,1
P00499,No,No,1
P06145,Yes,Yes,1
P09447,No,No,1
P09021,Yes,Yes,1
P08721,No,No,1
P05351,No,No,1
P04183,Yes,Yes,1
P02163,No,No,1
P06559,Yes,Yes,1
P09271,No,No,1
P02904,No,No,1
P08615,No,No,1
P09687,No,No,1
P03228,No,No,1
P08266,No,No,1
P08003,Yes,Yes,1
P05813,Yes,Yes,1
P05322,No,No,1
P08803,No,No,1
P05443,No,No,1
P02673,Yes,Yes,1
P04321,No,No,1
P08612,Yes,Yes,1
P09796,No,No,1
P08020,No,No,1
P08694,No,No,1
P01391,Yes,Yes,1
P07540,Yes,Yes,1
P06055,Yes,Yes,1
P09630,Yes,Yes,1
P05882,No,No,1
P01829,No,No,1
P04652,No,No,1
P09173,No,No,1
P05922,No,No,1
P02246,Yes,Yes,1
P03518,Yes,Yes,1
P08590,No,No,1
P09835,No,No,1
P04441,No,No,1
P05928,No,No,1
P03425,No,No,1
P01770,No,No,1
P08007,No,No,1
P06678,No,No,1
P07713,Yes,Yes,1
P07082,Yes,Yes,1
P08319,No,No,1
P04585,Yes,Yes,1
P06486,No,No,1
P06432,No,No,1
P09261,No,No,1
P08542,No,No,1
P08075,No,No,1
P06239,Yes,Yes,1
P02213,Yes,Yes,1
P02440,No,No,1
P07379,No,No,1
P00313,Yes,Yes,1
P09348,Yes,Yes,1
P07183,No,No,1
P08829,No,No,1
P02958,Yes,Yes,1
P02719,No,No,1
P09246,No,No,1
P00739,No,No,1
P02675,No,No,1
P00124,Yes,Yes,1
P04667,No,No,1
P01308,Yes,Yes,1
P06334,No,No,1
P08491,No,No,1
P07292,Yes,Yes,1
P02269,No,No,1
P02973,Yes,Yes,1
P00304,Yes,Yes,1
P03040,No,No,1
P04825,No,No,1
P05001,Yes,Yes,1
P00293,No,No,1
P07917,No,No,1
P06426,No,No,1
P08447,Yes,Yes,1
P05841,Yes,Yes,1
P08204,No,No,1
P03372,No,No,1
P06314,Yes,Yes,1
P00123,No,No,1
P03735,No,No,1
P02288,No,No,1
P07553,No,No,1
P05093,No,No,1
P04958,Yes,Yes,1
P07237,No,No,1
P09371,No,No,1
P08019,No,No,1
P02188,Yes,Yes,1
P06679,Yes,Yes,1
P05681,No,No,1
P09580,Yes,Yes,1
P03247,Yes,Yes,1
P00294,No,No,1
P00083,Yes,Yes,1
P08450,Yes,Yes,1
P02486,No,No,1
P00044,No,No,1
P09947,No,No,1
P02134,Yes,Yes,1
P09941,Yes,Yes,1
P08937,Yes,Yes,1
P00981,No,No,1
P02838,No,No,1
P08946,No,No,1
P07229,No,No,1
P01417,No,No,1
P07715,No,No,1
P01150,Yes,Yes,1
P02623,No,No,1
P04730,Yes,Yes,1
P06718,No,No,1
P02453,Yes,Yes,1
P08606,Yes,Yes,1
P07733,No,No,1
P04365,No,No,1
P08971,Yes,Yes,1
P07142,Yes,Yes,1
P06097,No,No,1
P03844,No,No,1
P04729,No,No,1
P07018,No,No,1
P02964,Yes,Yes,1
P00111,No,No,1
P00801,Yes,Yes,1
P07913,No,No,1
P01989,Yes,Yes,1
P03316,No,No,1
P02343,Yes,Yes,1
P07312,Yes,Yes,1
P03806,Yes,Yes,1
P00298,Yes,Yes,1
P08607,No,No,1
P05076,Yes,Yes,1
P04681,Yes,Yes,1
P03867,Yes,Yes,1
P00064,No,No,1
P06180,No,No,1
P06150,No,No,1
P02018,No,No,1
P05753,No,No,1
P06229,Yes,Yes,1
P00439,No,No,1
P08605,Yes,Yes,1
P02815,Yes,Yes,1
P07330,Yes,Yes,1
P06779,Yes,Yes,1
P07779,No,No,1
P01541,Yes,Yes,1
P01973,No,No,1
P00119,No,No,1
P00896,No,No,1
P01816,No,No,1
P01343,Yes,Yes,1
P02619,Yes,Yes,1
P01666,Yes,Yes,1
P03409,Yes,Yes,1
P01348,No,No,1
P05155,No,No,1
P05921,Yes,Yes,1
P07162,No,No,1
P08401,Yes,Yes,1
P05128,Yes,Yes,1
P05717,Yes,Yes,1
P03285,No,No,1
P09574,No,No,1
P06001,Yes,Yes,1
P03993,Yes,Yes,1
P03269,Yes,Yes,1
P04366,No,No,1
P05054,Yes,Yes,1
P04919,No,No,1
P04642,Yes,Yes,1
P02164,No,No,1
P08987,No,No,1
P02865,No,No,1
P05137,No,No,1
P06060,No,No,1
P04252,No,No,1
P06442,Yes,Yes,1
P04831,Yes,Yes,1
P06263,Yes,Yes,1
P04163,No,No,1
P04863,No,No,1
P08582,Yes,Yes,1
P07802,No,No,1
P06454,Yes,Yes,1
P05786,No,No,1
P09846,Yes,Yes,1
P08718,No,No,1
P05855,Yes,Yes,1
P00205,No,No,1
P01497,Yes,Yes,1
P05442,No,No,1
P01221,No,No,1
P06439,Yes,Yes,1
P09172,No,No,1
P04255,No,No,1
P03529,No,No,1
P06191,Yes,Yes,1
P00344,Yes,Yes,1
P02557,No,No,1
P07243,No,No,1
P02286,Yes,Yes,1
P02716,Yes,Yes,1
P01868,Yes,Yes,1
P00117,No,No,1
P07085,No,No,1
P06960,Yes,Yes,1
P02133,No,No,1
P05894,No,No,1
P09089,Yes,Yes,1
P05668,Yes,Yes,1
P02997,Yes,Yes,1
P08720,Yes,Yes,1
P08668,Yes,Yes,1
P03111,No,No,1
P03691,No,No,1
P03248,Yes,Yes,1
P02072,No,No,1
P04955,Yes,Yes,1
P04134,No,No,1
P04724,Yes,Yes,1
P07425,No,No,1
P02830,Yes,Yes,1
P07939,Yes,Yes,1
P05287,No,No,1
P08340,No,No,1
P01572,Yes,Yes,1
P02570,Yes,Yes,1
P05379,Yes,Yes,1
P01463,No,No,1
P09014,No,No,1
P04095,Yes,Yes,1
P03135,No,No,1
P01014,No,No,1
P03858,No,No,1
P09537,Yes,Yes,1
P08364,No,No,1
P02558,Yes,Yes,1
P06389,No,No,1
P08954,No,No,1
P02905,Yes,Yes,1
P02984,Yes,Yes,1
P02938,No,No,1
P07613,No,No,1
P00078,No,No,1
P05588,No,No,1
P04721,Yes,Yes,1
P00986,No,No,1
P04149,Yes,Yes,1
P08404,Yes,Yes,1
P08472,No,No,1
P06580,Yes,Yes,1
P08630,Yes,Yes,1
P08465,No,No,1
P09466,No,No,1
P04438,No,No,1
P08739,Yes,Yes,1
P07077,No,No,1
P07066,No,No,1
P02216,Yes,Yes,1
P03231,Yes,Yes,1
P06519,No,No,1
P01353,No,No,1
P09139,Yes,Yes,1
P02928,Yes,Yes,1
P02871,No,No,1
P01542,Yes,Yes,1
P03281,No,No,1
P07434,Yes,Yes,1
P07570,No,No,1
P09754,No,No,1
P08339,No,No,1
P05146,Yes,Yes,1
P06509,No,No,1
P03122,No,No,1
P05705,No,No,1
P01438,No,No,1
P08848,No,No,1
P07743,No,No,1
P02238,No,No,1
P06477,No,No,1
P07224,No,No,1
P04193,Yes,Yes,1
P06572,No,No,1
P09484,No,No,1
P00086,No,No,1
P07421,Yes,Yes,1
P08501,No,No,1
P06194,No,No,1
P00018,No,No,1
P04237,Yes,Yes,1
P04769,Yes,Yes,1
P06574,Yes,Yes,1
P05057,Yes,Yes,1
P00166,No,No,1
P07044,Yes,Yes,1
P02214,No,No,1
P09066,No,No,1
P09582,No,No,1
P02559,No,No,1
P07352,Yes,Yes,1
P03095,No,No,1
P08052,Yes,Yes,1
P01334,No,No,1
P01195,Yes,Yes,1
P07727,Yes,Yes,1
P09548,Yes,Yes,1
P04884,Yes,Yes,1
P06695,No,No,1
P05642,No,No,1
P06919,No,No,1
P02231,No,No,1
P04495,Yes,Yes,1
P00001,No,No,1
P00024,Yes,Yes,1
P00669,Yes,Yes,1
P00401,No,No,1
P01860,No,No,1
P06648,No,No,1
P05520,No,No,1
P06279,No,No,1
P02367,Yes,Yes,1
P04224,No,No,1
P00785,No,No,1
P01087,Yes,Yes,1
P05750,No,No,1
P01548,No,No,1
P09185,No,No,1
P09645,Yes,Yes,1
P01053,No,No,1
P03849,No,No,1
P06416,Yes,Yes,1
P09864,No,No,1
P04012,No,No,1
P08945,Yes,Yes,1
P07641,Yes,Yes,1
P05435,Yes,Yes,1
P04074,No,No,1
P03671,No,No,1
P02028,Yes,Yes,1
P09523,No,No,1
P05456,No,No,1
P02889,Yes,Yes,1
P03927,No,No,1
P02152,No,No,1
P00382,No,No,1
P08597,No,No,1
P06706,Yes,Yes,1
P01728,No,No,1
P05254,Yes,Yes,1
P00928,No,No,1
P04543,No,No,1
P03912,No,No,1
P01037,No,No,1
P00204,No,No,1
P01874,No,No,1
P06064,Yes,Yes,1
P01608,No,No,1
P03251,No,No,1
P04655,Yes,Yes,1
P06071,Yes,Yes,1
P01826,No,No,1
P00362,Yes,Yes,1
P04299,No,No,1
P08307,No,No,1
P00630,No,No,1
P02589,Yes,Yes,1
P09454,Yes,Yes,1
P01210,No,No,1
P02995,No,No,1
P00521,No,No,1
P04084,Yes,Yes,1
P09297,No,No,1
P03443,No,No,1
P09218,No,No,1
P00359,No,No,1
P01282,No,No,1
P07090,Yes,Yes,1
P05352,No,No,1
P04749,No,No,1
P02579,No,No,1
P07061,Yes,Yes,1
P04021,No,No,1
P06280,No,No,1
P03146,Yes,Yes,1
P03048,No,No,1
P02580,Yes,Yes,1
P03469,Yes,Yes,1
P05728,No,No,1
P08434,Yes,Yes,1
P03840,Yes,Yes,1
P06390,No,No,1
P04007,No,No,1
P06324,No,No,1
P07050,Yes,Yes,1
P03356,Yes,Yes,1
P00246,No,No,1
P08201,Yes,Yes,1
P09951,Yes,Yes,1
P06059,No,No,1
P09283,No,No,1
P02667,No,No,1
P09175,Yes,Yes,1
P09703,Yes,Yes,1
P00700,Yes,Yes,1
P08740,Yes,Yes,1
P02706,Yes,Yes,1
P04688,No,No,1
P08173,No,No,1
P08076,Yes,Yes,1
P03869,No,No,1
P09025,No,No,1
P09887,Yes,Yes,1
P07997,Yes,Yes,1
P08876,Yes,Yes,1
P00946,Yes,Yes,1
P09026,No,No,1
P08384,No,No,1
P07922,Yes,Yes,1
P02550,No,No,1
P08142,No,No,1
P02132,Yes,Yes,1
P04875,No,No,1
P00618,No,No,1
P05851,No,No,1
P08832,Yes,Yes,1
P04505,No,No,1
P05447,No,No,1
P06944,No,No,1
P03114,Yes,Yes,1
P04630,Yes,Yes,1
P05843,No,No,1
P08157,No,No,1
P08855,No,No,1
P00752,No,No,1
P02785,Yes,Yes,1
P01791,No,No,1
P00770,Yes,Yes,1
P06628,No,No,1
P09368,No,No,1
P01811,No,No,1
P02660,No,No,1
P00195,Yes,Yes,1
P07350,Yes,Yes,1
P01008,Yes,Yes,1
P00623,No,No,1
P09501,No,No,1
P03680,Yes,Yes,1
P07569,Yes,Yes,1
P05118,Yes,Yes,1
P00918,No,No,1
P07968,No,No,1
P07398,Yes,Yes,1
P03480,No,No,1
P08233,Yes,Yes,1
P09079,Yes,Yes,1
P03393,No,No,1
P00221,No,No,1
P01509,Yes,Yes,1
P07401,No,No,1
P09530,No,No,1
P00457,No,No,1
P09324,Yes,Yes,1
P04557,No,No,1
P02239,No,No,1
P04744,Yes,Yes,1
P03536,Yes,Yes,1
P03045,No,No,1
P02420,No,No,1
P06601,No,No,1
P05177,Yes,Yes,1
P01359,No,No,1
P08389,No,No,1
P05504,Yes,Yes,1
P07218,No,No,1
P01409,Yes,Yes,1
P04918,No,No,1
P06871,Yes,Yes,1
P03347,No,No,1
P08625,No,No,1
P03007,Yes,Yes,1
P00844,Yes,Yes,1
P02704,No,No,1
P05022,No,No,1
P06698,Yes,Yes,1
P00400,Yes,Yes,1
P05730,No,No,1
P05304,No,No,1
P09991,No,No,1
P08419,No,No,1
P02080,No,No,1
P09772,Yes,Yes,1
P03951,Yes,Yes,1
P04168,Yes,Yes,1
P01482,No,No,1
P02567,No,No,1
P02002,No,No,1
P02638,Yes,Yes,1
P02281,No,No,1
P04740,No,No,1
P01040,Yes,Yes,1
P09928,Yes,Yes,1
P01095,No,No,1
P06347,No,No,1
P07830,No,No,1
P04360,No,No,1
P08445,Yes,Yes,1
P04809,No,No,1
P09288,Yes,Yes,1
P00153,No,No,1
P02170,No,No,1
P08240,Yes,Yes,1
P01034,No,No,1
P04229,No,No,1
P08409,No,No,1
P06118,Yes,Yes,1
P00176,Yes,Yes,1
P04445,Yes,Yes,1
P00116,Yes,Yes,1
P07385,No,No,1
P05529,No,No,1
P02561,Yes,Yes,1
P05913,Yes,Yes,1
P04401,No,No,1
P02545,No,No,1
P04625,Yes,Yes,1
P03282,No,No,1
P05631,No,No,1
P02369,No,No,1
P08139,Yes,Yes,1
P01869,No,No,1
P01529,No,No,1
P04466,Yes,Yes,1
P06161,No,No,1
P01917,Yes,Yes,1
P07591,Yes,Yes,1
P05915,No,No,1
P07038,No,No,1
P01327,No,No,1
P02627,No,No,1
P01324,No,No,1
P07242,Yes,Yes,1
P03421,Yes,Yes,1
P06872,No,No,1
P00806,Yes,Yes,1
P00376,No,No,1
P08912,No,No,1
P08664,No,No,1
P05079,Yes,Yes,1
P02693,No,No,1
P03793,No,No,1
P09535,No,No,1
P01740,Yes,Yes,1
P00978,No,No,1
P07831,No,No,1
P01571,No,No,1
P09542,Yes,Yes,1
P04213,Yes,Yes,1
P07238,Yes,Yes,1
P06045,No,No,1
P01970,No,No,1
P02271,No,No,1
P08766,No,No,1
P08295,No,No,1
P03693,Yes,Yes,1
P09364,No,No,1
P02359,No,No,1
P00356,No,No,1
P02087,No,No,1
P00814,Yes,Yes,1
P01892,Yes,Yes,1
P03971,No,No,1
P04675,Yes,Yes,1
P00333,No,No,1
P09156,Yes,Yes,1
P04404,No,No,1
P00454,Yes,Yes,1
P09628,No,No,1
P03996,Yes,Yes,1
P00530,No,No,1
P09771,No,No,1
P02257,Yes,Yes,1
P03381,Yes,Yes,1
P04087,No,No,1
P02067,Yes,Yes,1
P09821,No,No,1
P02523,No,No,1
P04249,Yes,Yes,1
P09618,No,No,1
P09611,No,No,1
P05206,No,No,1
P08927,Yes,Yes,1
P08512,Yes,Yes,1
P05346,Yes,Yes,1
P06408,Yes,Yes,1
P05062,No,No,1
P00319,Yes,Yes,1
P01565,No,No,1
P01312,No,No,1
P04647,No,No,1
P00128,Yes,Yes,1
P02519,Yes,Yes,1
P09039,No,No,1
P06474,No,No,1
P03161,Yes,Yes,1
P05742,No,No,1
P00615,No,No,1
P06722,No,No,1
P05898,No,No,1
P00277,Yes,Yes,1
P09194,No,No,1
P06333,Yes,Yes,1
P03633,No,No,1
P06886,No,No,1
P02962,Yes,Yes,1
P02155,No,No,1
P02283,No,No,1
P03623,Yes,Yes,1
P01651,No,No,1
P06928,Yes,Yes,1
P00652,No,No,1
P09634,No,No,1
P06726,No,No,1
P06974,No,No,1
P01761,Yes,Yes,1
P00533,Yes,Yes,1
P02626,No,No,1
P05422,No,No,1
P03966,No,No,1
P00545,No,No,1
P01750,Yes,Yes,1
P05903,No,No,1
P06728,Yes,Yes,1
P07527,Yes,Yes,1
P01931,No,No,1
P05325,No,No,1
P06943,No,No,1
P06102,No,No,1
P02081,No,No,1
P05023,Yes,Yes,1
P06400,Yes,Yes,1
P00544,Yes,Yes,1
P03924,No,No,1
P01938,Yes,Yes,1
P03218,No,No,1
P03830,No,No,1
P08886,No,No,1
P04486,No,No,1
P06554,Yes,Yes,1
P08125,No,No,1
P04575,No,No,1
P06162,Yes,Yes,1
P03523,Yes,Yes,1
P00588,No,No,1
P08302,Yes,Yes,1
P01710,Yes,Yes,1
P04485,No,No,1
P07822,Yes,Yes,1
P05415,No,No,1
P08207,No,No,1
P01767,Yes,Yes,1
P00637,No,No,1
P05162,Yes,Yes,1
P02143,Yes,Yes,1
P00121,Yes,Yes,1
P04147,No,No,1
P02953,No,No,1
P04657,No,No,1
P05745,No,No,1
P07770,No,No,1
P06174,Yes,Yes,1
P08451,Yes,Yes,1
P09178,No,No,1
P03616,No,No,1
P01586,No,No,1
P08522,No,No,1
P09374,No,No,1
P03931,Yes,Yes,1
P06970,Yes,Yes,1
P00335,No,No,1
P08700,Yes,Yes,1
P07732,Yes,Yes,1
P00922,No,No,1
P06247,No,No,1
P06793,Yes,Yes,1
P07089,No,No,1
P01576,No,No,1
P04853,No,No,1
P07834,No,No,1
P00252,Yes,Yes,1
P06251,No,No,1
P04739,Yes,Yes,1
P05191,No,No,1
P07387,No,No,1
P03731,No,No,1
P05703,No,No,1
P02628,No,No,1
P05587,Yes,Yes,1
P09527,Yes,Yes,1
P07700,No,No,1
P02795,Yes,Yes,1
P01799,Yes,Yes,1
P02823,No,No,1
P02465,Yes,Yes,1
P03937,No,No,1
P04968,No,No,1
P07508,No,No,1
P04044,No,No,1
P01779,No,No,1
P03294,No,No,1
P01570,Yes,Yes,1
P09289,No,No,1
P08938,No,No,1
P03261,No,No,1
P09709,Yes,Yes,1
P02782,No,No,1
P07676,Yes,Yes,1
P06618,No,No,1
P03576,Yes,Yes,1
P07069,Yes,Yes,1
P03751,No,No,1
P04903,No,No,1
P08665,No,No,1
P04620,Yes,Yes,1
P06283,No,No,1
P02220,No,No,1
P04517,No,No,1
P09819,Yes,Yes,1
P01340,No,No,1
P06938,Yes,Yes,1
P09490,No,No,1
P00953,Yes,Yes,1
P03874,Yes,Yes,1
P03992,No,No,1
P02990,No,No,1
P00107,No,No,1
P09291,No,No,1
P07726,Yes,Yes,1
P01762,Yes,Yes,1
P09660,No,No,1
P09926,No,No,1
P05095,No,No,1
P01457,Yes,Yes,1
P02499,No,No,1
P02036,No,No,1
P07188,No,No,1
P00720,No,No,1
P03136,No,No,1
P05881,No,No,1
P08996,Yes,Yes,1
P05489,Yes,Yes,1
P04334,Yes,Yes,1
P09272,No,No,1
P03252,Yes,Yes,1
P03530,No,No,1
P09370,No,No,1
P02109,Yes,Yes,1
P06242,Yes,Yes,1
P01660,No,No,1
P09895,Yes,Yes,1
P04722,No,No,1
P03054,No,No,1
P02909,No,No,1
P00322,No,No,1
P04142,No,No,1
P04384,No,No,1
P01276,Yes,Yes,1
P02110,No,No,1
P08498,No,No,1
P08672,Yes,Yes,1
P04518,No,No,1
P09080,No,No,1
P00773,No,No,1
P00076,No,No,1
P03376,No,No,1
P07598,No,No,1
P01849,No,No,1
P02464,Yes,Yes,1
P02360,No,No,1
P04448,Yes,Yes,1
P02548,Yes,Yes,1
P04447,Yes,Yes,1
P07423,No,No,1
P08112,No,No,1
P06852,No,No,1
P08101,Yes,Yes,1
P02337,Yes,Yes,1
P04494,Yes,Yes,1
P01194,Yes,Yes,1
P06481,No,No,1
P01220,Yes,Yes,1
P01769,Yes,Yes,1
P06134,No,No,1
P08418,Yes,Yes,1
P07192,Yes,Yes,1
P03500,Yes,Yes,1
P03775,No,No,1
P05952,Yes,Yes,1
P05870,Yes,Yes,1
P01977,No,No,1
P07618,No,No,1
P08541,Yes,Yes,1
P08041,No,No,1
P07414,No,No,1
P04823,No,No,1
P00748,Yes,Yes,1
P06973,Yes,Yes,1
P01700,No,No,1
P00730,No,No,1
