Person_ID,True_Label,Predicted_Label,Correct
P05344,Average,Average,1
P01414,Excellent,Excellent,1
P03977,Good,Good,1
P08476,Good,Good,1
P00590,Excellent,Excellent,1
P05598,Excellent,Excellent,1
P05543,Excellent,Excellent,1
P07226,Good,Good,1
P07641,Good,Good,1
P06140,Good,Good,1
P07159,Good,Good,1
P07177,Excellent,Excellent,1
P09642,Good,Good,1
P00837,Excellent,Excellent,1
P05005,Good,Good,1
P07961,Good,Good,1
P09380,Good,Good,1
P04561,Good,Good,1
P04190,Average,Average,1
P07190,Excellent,Excellent,1
P00360,Average,Average,1
P02585,Excellent,Excellent,1
P07183,Good,Good,1
P00385,Excellent,Excellent,1
P06071,Excellent,Excellent,1
P06143,Excellent,Excellent,1
P06877,Good,Good,1
P07268,Average,Average,1
P05686,Good,Good,1
P01162,Excellent,Excellent,1
P00616,Excellent,Excellent,1
P05010,Excellent,Excellent,1
P07651,Good,Good,1
P06562,Good,Good,1
P01914,Excellent,Excellent,1
P01769,Good,Good,1
P00132,Good,Good,1
P04795,Excellent,Excellent,1
P04247,Good,Good,1
P07367,Excellent,Excellent,1
P08843,Excellent,Excellent,1
P01402,Excellent,Excellent,1
P03987,Average,Average,1
P06268,Average,Average,1
P00135,Excellent,Excellent,1
P00283,Excellent,Excellent,1
P01609,Good,Good,1
P09660,Good,Good,1
P02766,Excellent,Excellent,1
P02129,Good,Good,1
P00597,Good,Good,1
P05651,Good,Good,1
P09017,Good,Good,1
P03006,Good,Good,1
P04647,Average,Average,1
P07899,Good,Good,1
P05599,Good,Good,1
P04602,Good,Good,1
P07551,Average,Average,1
P01191,Excellent,Excellent,1
P08455,Good,Good,1
P08332,Good,Good,1
P07368,Good,Good,1
P00137,Average,Average,1
P02504,Excellent,Excellent,1
P06694,Good,Good,1
P06510,Average,Average,1
P05848,Excellent,Excellent,1
P06761,Good,Good,1
P02905,Good,Good,1
P03136,Good,Good,1
P03467,Good,Good,1
P08454,Good,Good,1
P09210,Good,Good,1
P08361,Good,Good,1
P02287,Good,Good,1
P08845,Good,Good,1
P00311,Average,Average,1
P02552,Good,Good,1
P05955,Good,Good,1
P02953,Average,Average,1
P08581,Excellent,Excellent,1
P02441,Good,Good,1
P01482,Good,Good,1
P05123,Excellent,Excellent,1
P00759,Good,Good,1
P04854,Average,Average,1
P03130,Good,Good,1
P01023,Average,Average,1
P00103,Excellent,Excellent,1
P02777,Good,Good,1
P06415,Poor,Poor,1
P03742,Good,Good,1
P01792,Average,Average,1
P04204,Good,Good,1
P01267,Excellent,Excellent,1
P06059,Good,Good,1
P04482,Average,Average,1
P04048,Good,Good,1
P00722,Excellent,Excellent,1
P04569,Excellent,Excellent,1
P05371,Good,Good,1
P06657,Excellent,Excellent,1
P07156,Good,Good,1
P00211,Good,Good,1
P01731,Excellent,Excellent,1
P07355,Excellent,Excellent,1
P07835,Good,Good,1
P07940,Excellent,Excellent,1
P03620,Excellent,Excellent,1
P00502,Good,Good,1
P07938,Good,Good,1
P05821,Good,Good,1
P09401,Good,Good,1
P08163,Excellent,Excellent,1
P03465,Excellent,Excellent,1
P00654,Good,Good,1
P00001,Excellent,Excellent,1
P02680,Average,Average,1
P06441,Average,Average,1
P02211,Good,Good,1
P09204,Good,Good,1
P06974,Excellent,Excellent,1
P09655,Average,Average,1
P00896,Average,Average,1
P01525,Average,Average,1
P05545,Average,Average,1
P01184,Good,Good,1
P05588,Good,Good,1
P08297,Poor,Poor,1
P03321,Good,Good,1
P08814,Good,Good,1
P05663,Good,Good,1
P06819,Excellent,Excellent,1
P07151,Good,Good,1
P08396,Good,Good,1
P02615,Good,Good,1
P04478,Good,Good,1
P02806,Excellent,Excellent,1
P07791,Average,Average,1
P03396,Good,Good,1
P08782,Average,Average,1
P01000,Good,Good,1
P06330,Good,Good,1
P02043,Average,Average,1
P06437,Good,Good,1
P08097,Excellent,Excellent,1
P07002,Average,Average,1
P02542,Excellent,Excellent,1
P09516,Excellent,Excellent,1
P00032,Good,Good,1
P01104,Average,Average,1
P06634,Excellent,Excellent,1
P05738,Good,Good,1
P05532,Excellent,Excellent,1
P07742,Average,Average,1
P09921,Average,Average,1
P07482,Good,Good,1
P09631,Excellent,Excellent,1
P04588,Excellent,Excellent,1
P01157,Excellent,Excellent,1
P03437,Excellent,Excellent,1
P04803,Excellent,Excellent,1
P04218,Good,Good,1
P03999,Good,Good,1
P08802,Excellent,Excellent,1
P03031,Good,Good,1
P05207,Good,Good,1
P08089,Excellent,Excellent,1
P00204,Excellent,Excellent,1
P04925,Average,Average,1
P07204,Good,Good,1
P03251,Average,Average,1
P01194,Good,Good,1
P01236,Excellent,Excellent,1
P09582,Excellent,Excellent,1
P02101,Good,Good,1
P06524,Good,Good,1
P03461,Good,Good,1
P07499,Excellent,Excellent,1
P08293,Good,Good,1
P01985,Good,Good,1
P09762,Good,Good,1
P09214,Excellent,Excellent,1
P01518,Average,Poor,0
P05472,Average,Average,1
P07030,Average,Average,1
P09086,Good,Good,1
P07921,Average,Average,1
P01099,Excellent,Excellent,1
P03992,Good,Good,1
P02491,Average,Average,1
P03086,Excellent,Excellent,1
P04895,Excellent,Excellent,1
P03474,Excellent,Excellent,1
P01919,Good,Good,1
P09238,Excellent,Excellent,1
P06594,Average,Average,1
P05723,Good,Good,1
P09939,Excellent,Excellent,1
P00974,Excellent,Excellent,1
P09026,Average,Average,1
P00511,Good,Good,1
P08195,Good,Good,1
P05860,Average,Average,1
P06163,Excellent,Excellent,1
P02706,Excellent,Excellent,1
P04612,Good,Good,1
P02084,Good,Good,1
P09454,Average,Average,1
P01656,Good,Good,1
P06756,Excellent,Excellent,1
P06912,Good,Good,1
P07851,Average,Average,1
P09545,Excellent,Excellent,1
P09386,Average,Average,1
P01213,Excellent,Excellent,1
P03649,Excellent,Excellent,1
P05087,Excellent,Excellent,1
P01300,Good,Good,1
P08420,Excellent,Excellent,1
P07778,Average,Average,1
P04543,Good,Good,1
P05299,Excellent,Excellent,1
P08960,Poor,Poor,1
P00831,Average,Average,1
P02036,Good,Good,1
P06571,Good,Good,1
P07286,Average,Average,1
P01983,Excellent,Excellent,1
P01541,Good,Good,1
P07077,Average,Average,1
P04530,Good,Good,1
P09220,Good,Good,1
P04726,Good,Good,1
P05327,Good,Good,1
P03682,Average,Average,1
P00910,Average,Average,1
P05734,Good,Good,1
P04148,Good,Good,1
P08502,Excellent,Excellent,1
P09610,Excellent,Excellent,1
P08065,Good,Good,1
P06379,Good,Good,1
P04003,Good,Good,1
P04145,Average,Average,1
P00823,Excellent,Excellent,1
P09323,Good,Good,1
P10000,Excellent,Excellent,1
P07282,Excellent,Excellent,1
P06534,Excellent,Excellent,1
P08810,Good,Good,1
P09773,Average,Average,1
P08233,Good,Good,1
P04772,Good,Good,1
P01275,Good,Good,1
P09721,Good,Good,1
P00979,Average,Average,1
P02945,Average,Average,1
P01677,Excellent,Excellent,1
P01962,Excellent,Excellent,1
P03311,Excellent,Excellent,1
P04541,Good,Good,1
P03590,Excellent,Excellent,1
P09326,Good,Good,1
P02314,Good,Good,1
P00432,Average,Average,1
P07428,Excellent,Excellent,1
P09313,Good,Good,1
P07712,Average,Average,1
P00076,Good,Good,1
P03778,Excellent,Excellent,1
P04463,Good,Good,1
P08989,Excellent,Excellent,1
P03731,Good,Good,1
P01136,Good,Good,1
P08567,Excellent,Excellent,1
P04668,Good,Good,1
P06675,Average,Average,1
P00412,Good,Good,1
P07091,Good,Good,1
P06067,Average,Average,1
P03552,Average,Average,1
P05212,Excellent,Excellent,1
P06953,Excellent,Excellent,1
P06829,Average,Average,1
P02081,Good,Good,1
P02137,Good,Good,1
P02112,Average,Average,1
P04728,Poor,Poor,1
P07276,Good,Good,1
P09050,Good,Good,1
P07120,Excellent,Excellent,1
P07215,Excellent,Excellent,1
P07716,Excellent,Excellent,1
P01100,Average,Average,1
P09169,Excellent,Excellent,1
P06651,Average,Average,1
P03099,Average,Average,1
P06324,Good,Good,1
P01145,Excellent,Excellent,1
P04219,Excellent,Excellent,1
P03390,Excellent,Excellent,1
P00052,Average,Average,1
P04638,Good,Good,1
P07814,Excellent,Excellent,1
P05339,Excellent,Excellent,1
P02315,Good,Good,1
P02022,Good,Good,1
P02819,Good,Good,1
P04517,Good,Good,1
P03343,Excellent,Excellent,1
P01703,Average,Average,1
P07018,Good,Good,1
P04571,Good,Good,1
P03420,Average,Average,1
P05662,Excellent,Excellent,1
P02827,Excellent,Excellent,1
P05280,Good,Good,1
P04280,Average,Average,1
P06357,Excellent,Excellent,1
P04049,Good,Good,1
P01372,Good,Good,1
P02786,Excellent,Excellent,1
P08105,Poor,Poor,1
P08630,Good,Good,1
P06873,Good,Good,1
P04119,Good,Good,1
P08541,Good,Good,1
P05823,Average,Average,1
P02762,Excellent,Excellent,1
P02798,Average,Average,1
P09902,Excellent,Excellent,1
P02634,Good,Good,1
P09995,Excellent,Excellent,1
P06593,Good,Good,1
P04939,Excellent,Excellent,1
P03751,Good,Good,1
P05783,Excellent,Excellent,1
P03226,Excellent,Excellent,1
P03753,Good,Good,1
P03887,Good,Good,1
P09636,Good,Good,1
P08237,Excellent,Excellent,1
P03898,Excellent,Excellent,1
P07971,Good,Good,1
P01509,Good,Good,1
P07458,Excellent,Excellent,1
P08707,Good,Good,1
P08515,Excellent,Excellent,1
P06299,Excellent,Excellent,1
P05194,Good,Good,1
P00813,Good,Good,1
P07317,Average,Average,1
P09429,Good,Good,1
P07147,Good,Good,1
P09990,Average,Average,1
P01041,Excellent,Excellent,1
P05025,Good,Good,1
P07635,Excellent,Excellent,1
P02579,Good,Good,1
P01212,Good,Good,1
P08598,Average,Average,1
P05248,Good,Good,1
P05404,Excellent,Excellent,1
P07963,Excellent,Excellent,1
P01112,Excellent,Excellent,1
P09656,Excellent,Excellent,1
P02282,Excellent,Excellent,1
P03604,Excellent,Excellent,1
P00913,Good,Good,1
P08703,Average,Average,1
P00163,Average,Average,1
P07051,Excellent,Excellent,1
P06302,Good,Good,1
P03230,Good,Good,1
P01608,Good,Good,1
P08059,Average,Average,1
P06038,Excellent,Excellent,1
P09607,Average,Average,1
P07959,Excellent,Excellent,1
P00476,Excellent,Excellent,1
P02302,Good,Good,1
P02944,Good,Good,1
P03912,Excellent,Excellent,1
P07863,Excellent,Excellent,1
P08674,Excellent,Excellent,1
P09329,Excellent,Excellent,1
P01709,Excellent,Excellent,1
P06286,Good,Good,1
P06157,Average,Average,1
P02651,Average,Average,1
P01664,Good,Good,1
P01621,Good,Good,1
P05237,Average,Average,1
P01939,Good,Good,1
P05816,Excellent,Excellent,1
P07043,Good,Good,1
P04295,Average,Average,1
P07724,Average,Average,1
P02589,Poor,Poor,1
P01889,Excellent,Excellent,1
P02245,Good,Good,1
P09135,Good,Good,1
P06285,Good,Good,1
P07918,Excellent,Excellent,1
P02965,Average,Average,1
P02221,Average,Average,1
P07980,Good,Good,1
P07676,Good,Good,1
P06389,Excellent,Excellent,1
P05513,Excellent,Excellent,1
P00677,Excellent,Excellent,1
P09235,Average,Average,1
P06678,Good,Good,1
P07045,Average,Average,1
P09575,Excellent,Excellent,1
P06403,Excellent,Excellent,1
P04628,Average,Average,1
P06835,Average,Average,1
P00277,Good,Good,1
P05395,Excellent,Excellent,1
P08393,Good,Good,1
P01455,Excellent,Excellent,1
P03938,Average,Average,1
P07388,Excellent,Excellent,1
P09417,Average,Average,1
P07371,Good,Good,1
P03435,Average,Average,1
P01563,Excellent,Excellent,1
P02565,Excellent,Excellent,1
P08935,Excellent,Excellent,1
P03765,Good,Good,1
P03491,Excellent,Excellent,1
P03824,Good,Good,1
P08373,Good,Good,1
P09700,Good,Good,1
P09573,Good,Good,1
P00664,Excellent,Excellent,1
P00684,Average,Average,1
P00789,Good,Good,1
P08966,Excellent,Excellent,1
P03525,Excellent,Excellent,1
P06017,Excellent,Excellent,1
P03297,Excellent,Excellent,1
P09013,Good,Good,1
P03690,Good,Good,1
P01716,Good,Good,1
P06224,Excellent,Excellent,1
P06826,Excellent,Excellent,1
P00329,Good,Good,1
P08143,Good,Good,1
P02008,Good,Good,1
P08032,Excellent,Excellent,1
P05992,Excellent,Excellent,1
P01733,Good,Good,1
P01722,Average,Average,1
P07992,Good,Good,1
P01168,Average,Average,1
P09423,Good,Good,1
P01211,Poor,Poor,1
P09491,Good,Good,1
P04349,Good,Good,1
P02238,Good,Good,1
P05309,Good,Good,1
P02258,Good,Good,1
P09703,Poor,Poor,1
P05854,Average,Average,1
P05631,Excellent,Excellent,1
P00393,Average,Average,1
P08874,Excellent,Excellent,1
P03940,Good,Good,1
P03493,Average,Average,1
P08727,Good,Good,1
P09867,Good,Good,1
P01861,Excellent,Excellent,1
P04861,Excellent,Excellent,1
P07617,Good,Good,1
P09275,Good,Good,1
P00976,Excellent,Excellent,1
P03716,Excellent,Excellent,1
P03235,Excellent,Excellent,1
P06074,Excellent,Excellent,1
P04906,Excellent,Excellent,1
P09422,Good,Good,1
P08953,Good,Good,1
P00854,Good,Good,1
P06060,Average,Average,1
P00058,Average,Average,1
P03946,Good,Good,1
P05208,Average,Average,1
P06951,Good,Good,1
P00002,Good,Good,1
P08241,Good,Good,1
P08849,Good,Good,1
P06440,Good,Good,1
P01453,Average,Average,1
P07770,Excellent,Excellent,1
P04010,Excellent,Excellent,1
P09438,Good,Good,1
P00323,Average,Average,1
P03867,Excellent,Excellent,1
P09520,Average,Average,1
P09248,Excellent,Excellent,1
P06590,Good,Good,1
P04400,Good,Good,1
P02417,Excellent,Excellent,1
P00065,Average,Average,1
P08183,Average,Average,1
P03903,Good,Good,1
P04093,Average,Average,1
P03155,Good,Good,1
P00305,Average,Average,1
P09845,Average,Average,1
P00147,Good,Good,1
P03846,Good,Good,1
P07112,Good,Good,1
P09878,Good,Good,1
P03198,Average,Average,1
P04069,Good,Good,1
P03401,Average,Average,1
P01998,Good,Good,1
P01765,Excellent,Excellent,1
P01208,Excellent,Excellent,1
P09414,Good,Good,1
P09523,Good,Good,1
P02196,Good,Good,1
P09938,Excellent,Excellent,1
P01756,Average,Average,1
P04513,Good,Good,1
P00562,Average,Average,1
P08131,Good,Good,1
P06809,Good,Good,1
P06070,Good,Good,1
P01826,Good,Good,1
P02558,Good,Good,1
P07799,Excellent,Excellent,1
P00192,Excellent,Excellent,1
P05515,Good,Good,1
P00863,Average,Average,1
P06605,Good,Good,1
P00578,Excellent,Excellent,1
P08570,Excellent,Excellent,1
P02318,Excellent,Excellent,1
P08187,Average,Average,1
P06827,Good,Good,1
P05437,Excellent,Excellent,1
P03669,Average,Average,1
P07436,Excellent,Excellent,1
P09754,Good,Good,1
P09694,Good,Good,1
P01358,Good,Good,1
P02357,Poor,Poor,1
P04451,Average,Average,1
P06282,Average,Average,1
P01312,Excellent,Excellent,1
P06704,Good,Good,1
P01880,Good,Good,1
P05028,Excellent,Excellent,1
P03144,Average,Average,1
P02496,Good,Good,1
P01489,Good,Good,1
P09444,Poor,Poor,1
P05017,Excellent,Excellent,1
P00338,Good,Good,1
P01690,Excellent,Excellent,1
P07986,Good,Good,1
P00912,Excellent,Excellent,1
P05722,Excellent,Excellent,1
P06747,Excellent,Excellent,1
P03481,Excellent,Excellent,1
P08912,Average,Average,1
P08298,Good,Good,1
P09633,Good,Good,1
P04359,Excellent,Excellent,1
P01710,Good,Good,1
P04062,Average,Average,1
P06728,Excellent,Excellent,1
P03097,Excellent,Excellent,1
P08453,Average,Average,1
P04113,Average,Average,1
P09241,Excellent,Excellent,1
P06321,Good,Good,1
P02960,Average,Average,1
P04253,Good,Good,1
P02164,Average,Average,1
P07464,Good,Good,1
P07127,Average,Average,1
P09176,Average,Average,1
P01617,Good,Good,1
P02335,Good,Good,1
P02097,Average,Average,1
P00514,Good,Good,1
P05264,Excellent,Excellent,1
P06185,Good,Good,1
P00477,Good,Good,1
P03381,Average,Average,1
P03365,Excellent,Excellent,1
P09601,Excellent,Excellent,1
P04323,Average,Average,1
P08611,Average,Average,1
P08318,Good,Good,1
P02571,Excellent,Excellent,1
P07200,Excellent,Excellent,1
P03066,Excellent,Excellent,1
P05861,Excellent,Excellent,1
P08150,Excellent,Excellent,1
P01862,Excellent,Excellent,1
P03092,Good,Good,1
P08640,Good,Good,1
P09072,Average,Average,1
P04732,Excellent,Excellent,1
P09390,Excellent,Excellent,1
P08099,Average,Average,1
P08164,Good,Good,1
P02547,Average,Average,1
P00038,Excellent,Excellent,1
P06236,Excellent,Excellent,1
P08533,Average,Average,1
P06705,Good,Good,1
P07581,Good,Good,1
P09482,Excellent,Excellent,1
P09117,Good,Good,1
P04076,Excellent,Excellent,1
P09585,Average,Average,1
P02640,Good,Good,1
P03207,Good,Good,1
P06445,Average,Average,1
P03034,Excellent,Excellent,1
P09053,Good,Good,1
P05379,Good,Good,1
P04716,Good,Good,1
P09055,Average,Average,1
P01929,Average,Average,1
P08269,Excellent,Excellent,1
P02486,Excellent,Excellent,1
P01064,Good,Good,1
P04025,Good,Good,1
P00215,Excellent,Excellent,1
P04230,Excellent,Excellent,1
P03537,Average,Average,1
P07405,Good,Good,1
P05153,Excellent,Excellent,1
P05411,Excellent,Excellent,1
P03659,Excellent,Excellent,1
P08132,Excellent,Excellent,1
P00395,Good,Good,1
P05910,Excellent,Excellent,1
P02061,Average,Average,1
P00009,Good,Good,1
P07250,Good,Good,1
P03795,Average,Average,1
P09653,Good,Good,1
P06774,Excellent,Excellent,1
P06165,Excellent,Excellent,1
P00075,Excellent,Excellent,1
P01927,Excellent,Excellent,1
P04858,Excellent,Excellent,1
P05170,Average,Average,1
P01597,Good,Good,1
P05954,Good,Good,1
P09865,Excellent,Excellent,1
P09764,Good,Good,1
P04450,Good,Good,1
P07456,Good,Good,1
P04419,Excellent,Excellent,1
P09579,Excellent,Excellent,1
P01323,Good,Good,1
